epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,494.086,1.10655,2.72084,1.50015,0.49144,0.37099,0.3936,0.24726,1.30313,2.66952,1.79292,0.000413223,0.000413223,0.000413223
2,923.302,1.16932,2.18589,1.52888,0.42403,0.41421,0.27393,0.18634,1.37429,3.5783,1.90441,0.000813458,0.000813458,0.000813458
3,1342.29,1.15139,1.99865,1.50087,0.61147,0.39636,0.43833,0.2736,1.54943,2.66477,2.0006,0.00119719,0.00119719,0.00119719
4,1759.93,1.13941,1.94659,1.51022,0.59624,0.47659,0.47105,0.28318,1.48094,2.43838,1.88152,0.00117575,0.00117575,0.00117575
5,2172.61,1.13597,1.79459,1.49521,0.81058,0.49482,0.50727,0.34095,1.3882,2.21799,1.83049,0.001151,0.001151,0.001151
6,2584.76,1.10592,1.74898,1.47097,0.8122,0.47264,0.49632,0.32611,1.46393,2.1752,1.84759,0.00112625,0.00112625,0.00112625
7,3002.06,1.06634,1.69089,1.44207,0.69215,0.47926,0.51051,0.32673,1.4257,2.1587,1.88408,0.0011015,0.0011015,0.0011015
8,3455.11,1.06258,1.62154,1.43718,0.58522,0.41358,0.45357,0.28192,1.43707,2.35563,1.84463,0.00107675,0.00107675,0.00107675
9,713.358,1.0536,1.60531,1.42536,0.74022,0.50504,0.53213,0.35423,1.37994,2.02143,1.85165,0.001052,0.001052,0.001052
10,1354.85,0.98727,1.4855,1.37866,0.68921,0.49333,0.49887,0.34295,1.32652,2.02679,1.76963,0.00102725,0.00102725,0.00102725
11,2049.85,0.93958,1.40268,1.33587,0.81482,0.4747,0.53915,0.37749,1.35415,1.92599,1.76415,0.0010025,0.0010025,0.0010025
12,2731.64,0.9427,1.39198,1.34988,0.76516,0.47059,0.5562,0.39002,1.30267,1.99385,1.78362,0.00097775,0.00097775,0.00097775
13,3332.49,0.91707,1.27646,1.33158,0.63055,0.48448,0.52325,0.37726,1.32407,1.95688,1.78138,0.000953,0.000953,0.000953
14,3997.34,0.88971,1.27086,1.31248,0.73779,0.48514,0.53378,0.38278,1.32964,1.99002,1.82165,0.00092825,0.00092825,0.00092825
15,4612.32,0.85913,1.19543,1.28158,0.68991,0.47896,0.54246,0.38435,1.27656,2.05563,1.73178,0.0009035,0.0009035,0.0009035
16,5220.81,0.86548,1.17813,1.28451,0.68583,0.51911,0.54931,0.39308,1.30381,1.90717,1.78423,0.00087875,0.00087875,0.00087875
17,5844.86,0.88707,1.19182,1.29578,0.85754,0.50596,0.54658,0.40006,1.29054,1.97733,1.80817,0.000854,0.000854,0.000854
